org,공고수,투명성점수,임금,근무시간,근무기간,모집인원,지원마감일,자격요건,지원방법,문의처,주채널,사용채널수
경제대학행정팀,11,68.2,100.0,100.0,18.2,18.2,36.4,100.0,81.8,90.9,청년광장,2
생명과학,11,65.9,45.5,36.4,72.7,45.5,63.6,100.0,100.0,63.6,학과·기관 홈페이지,1
산학연계교육센터,11,95.5,100.0,100.0,100.0,63.6,100.0,100.0,100.0,100.0,청년광장,2
AI·SW교육센터,11,89.8,100.0,100.0,100.0,18.2,100.0,100.0,100.0,100.0,학과·기관 홈페이지,2
경제학,10,85.0,100.0,100.0,10.0,100.0,90.0,100.0,100.0,80.0,서담,2
공공정책대학원,10,87.5,70.0,80.0,80.0,80.0,100.0,100.0,100.0,90.0,학과·기관 홈페이지,3
경제대학원,10,82.5,80.0,70.0,80.0,60.0,70.0,100.0,100.0,100.0,서담,2
동아연구소,10,73.8,70.0,50.0,70.0,50.0,100.0,70.0,100.0,80.0,청년광장,2
대학혁신추진단,9,87.5,88.9,77.8,88.9,77.8,100.0,88.9,88.9,88.9,서담,2
아트&테크놀로지,9,87.5,100.0,77.8,88.9,33.3,100.0,100.0,100.0,100.0,청년광장,1
물리학,9,70.8,33.3,88.9,22.2,55.6,100.0,88.9,88.9,88.9,학과·기관 홈페이지,1
영상대학원,9,48.6,66.7,66.7,55.6,22.2,0.0,66.7,66.7,44.4,청년광장,2
로욜라국제대학 / 국제대학원 행정팀,9,88.9,100.0,100.0,88.9,22.2,100.0,100.0,100.0,100.0,서담,2
게임&평생교육원,9,70.8,100.0,88.9,100.0,11.1,33.3,77.8,88.9,66.7,서담,2
교육혁신팀,8,60.9,62.5,62.5,25.0,0.0,100.0,75.0,87.5,75.0,서담,2
시설팀,8,90.6,100.0,100.0,100.0,100.0,25.0,100.0,100.0,100.0,청년광장,2
영문학부,8,78.1,50.0,87.5,100.0,12.5,75.0,100.0,100.0,100.0,청년광장,2
사회과학대학행정팀,8,92.2,100.0,100.0,75.0,87.5,87.5,100.0,100.0,87.5,청년광장,3
일반대학원,8,87.5,100.0,75.0,87.5,75.0,62.5,100.0,100.0,100.0,청년광장,3
융합교육혁신팀,7,85.7,100.0,100.0,100.0,0.0,85.7,100.0,100.0,100.0,서담,2
연구처·산학협력단,6,87.5,100.0,100.0,83.3,83.3,50.0,100.0,100.0,83.3,청년광장,2
미래교육원,6,87.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,청년광장,2
국제학생팀,6,93.8,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,청년광장,2
고시반(토마스모어관),5,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,서담,2
인공지능학,5,90.0,100.0,100.0,80.0,100.0,40.0,100.0,100.0,100.0,서담,3
교육문화연계전공,5,80.0,60.0,80.0,100.0,60.0,100.0,100.0,100.0,40.0,청년광장,3
컴퓨터공학,5,87.5,80.0,60.0,100.0,60.0,100.0,100.0,100.0,100.0,학과·기관 홈페이지,2
디지털정보처,5,85.0,80.0,100.0,40.0,100.0,60.0,100.0,100.0,100.0,청년광장,1
트랜스내셔널인문학연구소,5,95.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,청년광장,3
메타버스융합연구소,5,47.5,20.0,0.0,0.0,0.0,100.0,100.0,100.0,60.0,학과·기관 홈페이지,1
교육대학원,5,92.5,100.0,100.0,100.0,40.0,100.0,100.0,100.0,100.0,청년광장,3
자연과학대학행정팀,4,87.5,100.0,50.0,100.0,75.0,75.0,100.0,100.0,100.0,학과·기관 홈페이지,2
정치외교학,4,93.8,100.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0,서담,3
종교연구소,4,84.4,100.0,100.0,0.0,100.0,75.0,100.0,100.0,100.0,청년광장,1
HUSS 사회구조 사업단,4,96.9,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,서담,1
학생생활상담연구소,4,81.2,75.0,100.0,50.0,75.0,100.0,100.0,100.0,50.0,청년광장,3
신학연구소,4,71.9,100.0,100.0,0.0,25.0,50.0,100.0,100.0,100.0,학과·기관 홈페이지,1
융합소프트웨어연계전공,4,90.6,100.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,학과·기관 홈페이지,2
교양국어,4,75.0,75.0,75.0,75.0,50.0,100.0,75.0,75.0,75.0,청년광장,2
공과대학,4,71.9,75.0,0.0,100.0,50.0,75.0,100.0,100.0,75.0,학과·기관 홈페이지,1
도서관,3,4.2,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,청년광장,1
인문사회 융합인재양성사업단,3,87.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,청년광장,1
가상융합전문대학원,3,95.8,100.0,100.0,66.7,100.0,100.0,100.0,100.0,100.0,청년광장,1
서강교육그룹,3,79.2,100.0,66.7,100.0,66.7,0.0,100.0,100.0,100.0,서담,2
